
Código Contable;Descripción;Total (suma de todas las monedas)
416380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
416380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
416380207;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380208;Obligaciones a favor de exportadores chilenos;0
416380290;Otros créditos obtenidos en el país;-5.969.089.457
416380300;Obligaciones con el exterior;0
416380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
416380302;"               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380303;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
416380304;Obligaciones a favor de exportadores extranjeros;0
416380305;Adeudado a organismos internacionales;0
416380306;Otros créditos obtenidos en el exterior;0
416500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-47.492.716.202
416500100;Bonos subordinados;-47.492.716.202
416500200;Bonos sin plazo fijo de vencimiento;0
416800000;"RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC";0
416800100;Utilidad por contratos de derivados financieros para cobertura contable;0
416800200;Pérdida por contratos de derivados financieros para cobertura contable;0
416800300;Resultados por ajuste de pasivos financieros cubiertos;0
420000000;INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS;333.830.313.443
422150100;Comisiones por prepago de créditos;7.863.825.287
422150101;Créditos otorgados a bancos;0
422150102;Créditos comerciales;1.311.971.949
422150103;Créditos para vivienda;908.053.501
422150104;Créditos de consumo;5.643.799.837
422180100;Comisiones de préstamos con letras de crédito;168.351.519
422180101;Comisiones de préstamos con letras de crédito para vivienda;99.001.735
422180102;Comisiones de préstamos con letras de crédito para fines generales;69.349.784
422250100;Comisiones por líneas de crédito y sobregiros en cuenta corriente;4.416.407.808
422250101;Líneas de crédito;4.342.424.376
422250102;Sobregiros pactados;73.983.432
422280100;Comisiones por avales y cartas de crédito;26.819.505.292
422280101;Cartas de crédito de operaciones de circulación de mercancías;2.621.501.932
422280102;Avales y fianzas;0
422280103;Cartas de crédito stand-by;4.769.730.350
422280104;Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco;19.428.273.010
