
Código Contable;Descripción;Total (suma de todas las monedas)
416350100;Letras de Créditos;0
416350101;Letras de crédito para vivienda;0
416350102;Letras de crédito para fines generales;0
416350200;Bonos;-46.083.015.208
416350201;Bonos corrientes;-46.083.015.208
416350203;Bonos hipotecarios;0
416380000;Otras obligaciones financieras;-1.115.203.420
416380100;Obligaciones con el sector público;0
416380101;Financiamientos de CORFO;0
416380102;Obligaciones con otros organismos gubernamentales;0
416380200;Otras obligaciones en el país;-1.115.203.420
416380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
416380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas;0
416380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas;0
416380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
416380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
416380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
416380207;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
416380208;Obligaciones a favor de exportadores chilenos;0
416380290;Otros créditos obtenidos en el país;-1.115.203.420
416380300;Obligaciones con el exterior;0
416380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
416380302;Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos);0
416380303;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
416380304;Obligaciones a favor de exportadores extranjeros;0
416380305;Adeudado a organismos internacionales;0
416380306;Otros créditos obtenidos en el exterior;0
416500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-6.803.040.000
416500100;Bonos subordinados;-6.803.040.000
416500200;Bonos sin plazo fijo de vencimiento;0
416800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC;3.411.400.000
416800100;Utilidad por contratos de derivados financieros para cobertura contable;3.411.400.000
416800200;Pérdida por contratos de derivados financieros para cobertura contable;0
416800300;Resultados por ajuste de pasivos financieros cubiertos;0
420000000;INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS;13.217.071.804
422150100;Comisiones por prepago de créditos;95.683.272
422150101;Créditos otorgados a bancos;0
422150102;Créditos comerciales;45.535.356
422150103;Créditos para vivienda;0
422150104;Créditos de consumo;50.147.916
422180100;Comisiones de préstamos con letras de crédito;0
422180101;Comisiones de préstamos con letras de crédito para vivienda;0
422180102;Comisiones de préstamos con letras de crédito para fines generales;0
422250100;Comisiones por líneas de crédito y sobregiros en cuenta corriente;2.278.435.974
422250101;Líneas de crédito;2.278.435.974
422250102;Sobregiros pactados;0
422280100;Comisiones por avales y cartas de crédito;143.559.706
422280101;Cartas de crédito de operaciones de circulación de mercancías;143.559.706
422280102;Avales y fianzas;0
422280103;Cartas de crédito stand-by;0
422280104;Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco;0
422280105;Boletas de garantía enteradas con depósito en dinero;0
422280190;Otros;0
422350100;Comisiones por servicios de tarjetas;154.863.580
422350101;Tarjetas de cajeros automáticos;44.078.210
422350102;Tarjetas de crédito - comisiones de titulares;110.785.370
422350103;Tarjetas de crédito - comisiones de establecimientos;0
422350104;Tarjetas de débito - comisiones de titulares;0
422350105;Tarjetas de débito - comisiones de establecimientos;0
422350106;Tarjetas de pago con provisión de fondos para tarjetas nominativas ¿ comisiones de titulares;0
422350107;Tarjetas de pago con provisión de fondos para tarjetas innominadas ¿ comisiones de titulares;0
422350108;Tarjetas de pago con provisión de fondos para tarjetas nominativas ¿ comisiones de establecimientos;0
422350109;Tarjetas de pago con provisión de fondos para tarjetas innominadas ¿ comisiones de establecimientos;0
422350190;Otras tarjetas;0
422380100;Comisiones por administración de cuentas;479.930.350
