
Código Contable;Descripción;Total (suma de todas las monedas)
416380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
416380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
416380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
416380207;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
416380208;Obligaciones a favor de exportadores chilenos;0
416380290;Otros créditos obtenidos en el país;-3.861.058.079
416380300;Obligaciones con el exterior;0
416380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
416380302;Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos);0
416380303;Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos);0
416380304;Obligaciones a favor de exportadores extranjeros;0
416380305;Adeudado a organismos internacionales;0
416380306;Otros créditos obtenidos en el exterior;0
416500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-23.949.044.649
416500100;Bonos subordinados;-23.949.044.649
416500200;Bonos sin plazo fijo de vencimiento;0
416800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC;-2.807.912.600
416800100;Utilidad por contratos de derivados financieros para cobertura contable;78.385.600
416800200;Pérdida por contratos de derivados financieros para cobertura contable;-2.886.298.200
416800300;Resultados por ajuste de pasivos financieros cubiertos;0
420000000;INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS;162.923.184.395
422150100;Comisiones por prepago de créditos;5.243.408.222
422150101;Créditos otorgados a bancos;0
422150102;Créditos comerciales;2.870.044.908
422150103;Créditos para vivienda;425.455.888
422150104;Créditos de consumo;1.947.907.426
422180100;Comisiones de préstamos con letras de crédito;36.444.623
422180101;Comisiones de préstamos con letras de crédito para vivienda;14.918.688
422180102;Comisiones de préstamos con letras de crédito para fines generales;21.525.935
422250100;Comisiones por líneas de crédito y sobregiros en cuenta corriente;3.229.500.524
422250101;Líneas de crédito;3.183.714.013
422250102;Sobregiros pactados;45.786.511
422280100;Comisiones por avales y cartas de crédito;16.283.354.883
422280101;Cartas de crédito de operaciones de circulación de mercancías;1.501.723.061
422280102;Avales y fianzas;0
422280103;Cartas de crédito stand-by;2.635.634.218
422280104;Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco;12.145.997.604
422280105;Boletas de garantía enteradas con depósito en dinero;0
422280190;Otros;0
422350100;Comisiones por servicios de tarjetas;48.150.684.752
422350101;Tarjetas de cajeros automáticos;1.205.385.639
422350102;Tarjetas de crédito - comisiones de titulares;16.617.825.125
